Name of the Political Party,"Date of Encashment",Sum,Upcoming Election
SIKKIM KRANTIKARI MORCHA,13-Oct-22,20000000,"Himachal Pradesh, Gujarat"
TELUGU DESAM PARTY,13-Oct-22,50000000,"Himachal Pradesh, Gujarat"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,13-Oct-22,50000000,"Himachal Pradesh, Gujarat"
AAM AADMI PARTY,14-Oct-22,76000000,"Himachal Pradesh, Gujarat"
ALL INDIA TRINAMOOL CONGRESS,14-Oct-22,200000000,"Himachal Pradesh, Gujarat"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14-Oct-22,130000000,"Himachal Pradesh, Gujarat"
AAM AADMI PARTY,15-Oct-22,69500000,"Himachal Pradesh, Gujarat"
ALL INDIA TRINAMOOL CONGRESS,15-Oct-22,331000000,"Himachal Pradesh, Gujarat"
BHARTIYA JANTA PARTY,15-Oct-22,1000000000,"Himachal Pradesh, Gujarat"
BHARTIYA JANTA PARTY,18-Oct-22,125000000,"Himachal Pradesh, Gujarat"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18-Oct-22,40000000,"Himachal Pradesh, Gujarat"
AAM AADMI PARTY,20-Oct-22,64000000,"Himachal Pradesh, Gujarat"
JANASENA PARTY,20-Oct-22,20000000,"Himachal Pradesh, Gujarat"
AAM AADMI PARTY,21-Oct-22,5000000,"Himachal Pradesh, Gujarat"
BHARTIYA JANTA PARTY,21-Oct-22,310000000,"Himachal Pradesh, Gujarat"
AAM AADMI PARTY,14-Nov-22,50000000,Gujarat
BHARTIYA JANTA PARTY,14-Nov-22,2000000000,Gujarat
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14-Nov-22,4000000,Gujarat
BHARTIYA JANTA PARTY,16-Nov-22,2017500000,Gujarat
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16-Nov-22,170000000,Gujarat
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",17-Nov-22,100000000,Gujarat
BHARTIYA JANTA PARTY,18-Nov-22,1875999000,Gujarat
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18-Nov-22,103100000,Gujarat
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,18-Nov-22,120000000,Gujarat
AAM AADMI PARTY,19-Nov-22,20000000,Gujarat
AAM AADMI PARTY,21-Nov-22,10000000,Gujarat
BHARTIYA JANTA PARTY,21-Nov-22,135000000,Gujarat
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",22-Nov-22,50000000,Gujarat
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",23-Nov-22,22000000,Gujarat
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,23-Nov-22,40000000,Gujarat
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",24-Nov-22,15000000,Gujarat
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",28-Nov-22,30000000,Gujarat
AAM AADMI PARTY,09-Dec-22,10000000,"Tripura, Meghalaya, Nagaland"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,12-Dec-22,200000000,"Tripura, Meghalaya, Nagaland"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13-Dec-22,80000000,"Tripura, Meghalaya, Nagaland"
AAM AADMI PARTY,14-Dec-22,20000000,"Tripura, Meghalaya, Nagaland"
ALL INDIA TRINAMOOL CONGRESS,14-Dec-22,150000000,"Tripura, Meghalaya, Nagaland"
BHARTIYA JANTA PARTY,14-Dec-22,1090000000,"Tripura, Meghalaya, Nagaland"
AAM AADMI PARTY,15-Dec-22,20000000,"Tripura, Meghalaya, Nagaland"
ALL INDIA TRINAMOOL CONGRESS,15-Dec-22,10000000,"Tripura, Meghalaya, Nagaland"
AAM AADMI PARTY,16-Dec-22,31000000,"Tripura, Meghalaya, Nagaland"
BHARTIYA JANTA PARTY,16-Dec-22,490000000,"Tripura, Meghalaya, Nagaland"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,16-Dec-22,10000000,"Tripura, Meghalaya, Nagaland"
AAM AADMI PARTY,17-Dec-22,30000000,"Tripura, Meghalaya, Nagaland"
ALL INDIA TRINAMOOL CONGRESS,19-Dec-22,10000000,"Tripura, Meghalaya, Nagaland"
BHARTIYA JANTA PARTY,19-Dec-22,70000000,"Tripura, Meghalaya, Nagaland"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20-Dec-22,100000000,"Tripura, Meghalaya, Nagaland"
TELUGU DESAM PARTY,24-Jan-23,60000000,"Tripura, Meghalaya, Nagaland"
ALL INDIA TRINAMOOL CONGRESS,27-Jan-23,200000000,"Tripura, Meghalaya, Nagaland"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",27-Jan-23,9100000,"Tripura, Meghalaya, Nagaland"
ALL INDIA TRINAMOOL CONGRESS,30-Jan-23,405000000,"Tripura, Meghalaya, Nagaland"
BHARTIYA JANTA PARTY,30-Jan-23,1000000000,"Tripura, Meghalaya, Nagaland"
BHARAT RASHTRA SAMITHI,31-Jan-23,500000,"Tripura, Meghalaya, Nagaland"
TELUGU DESAM PARTY,31-Jan-23,130000000,"Tripura, Meghalaya, Nagaland"
ALL INDIA TRINAMOOL CONGRESS,01-Feb-23,200000000,"Tripura, Meghalaya, Nagaland"
BHARTIYA JANTA PARTY,01-Feb-23,370000000,"Tripura, Meghalaya, Nagaland"
BIJU JANATA DAL,01-Feb-23,70000000,"Tripura, Meghalaya, Nagaland"
JHARKHAND MUKTI MORCHA,01-Feb-23,10000000,"Tripura, Meghalaya, Nagaland"
TELUGU DESAM PARTY,01-Feb-23,20000000,"Tripura, Meghalaya, Nagaland"
SIKKIM KRANTIKARI MORCHA,02-Feb-23,25000000,"Tripura, Meghalaya, Nagaland"
BHARTIYA JANTA PARTY,04-Feb-23,216000000,"Tripura, Meghalaya, Nagaland"
BHARTIYA JANTA PARTY,07-Feb-23,342000000,"Tripura, Meghalaya, Nagaland"
SIKKIM KRANTIKARI MORCHA,07-Feb-23,30000000,"Tripura, Meghalaya, Nagaland"
BHARAT RASHTRA SAMITHI,06-Apr-23,100000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",06-Apr-23,60000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
DMK PARTY IN PARLIAMENT,10-Apr-23,400000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10-Apr-23,722500000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",11-Apr-23,130000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
TELUGU DESAM PARTY,11-Apr-23,20000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,11-Apr-23,100000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,12-Apr-23,1770000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,13-Apr-23,702000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,13-Apr-23,300000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
JHARKHAND MUKTI MORCHA,13-Apr-23,10000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
NATIONALIST CONGRESS PARTY PARLIAMENT OF,13-Apr-23,15000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13-Apr-23,100000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
TELUGU DESAM PARTY,13-Apr-23,50000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,15-Apr-23,151000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BIJU JANATA DAL,15-Apr-23,150000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
JANASENA PARTY,15-Apr-23,20000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,15-Apr-23,250000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,17-Apr-23,118500000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,17-Apr-23,350000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,17-Apr-23,1430450000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
JANATA DAL ( SECULAR ),17-Apr-23,10000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",17-Apr-23,770000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
TELUGU DESAM PARTY,17-Apr-23,250000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,18-Apr-23,221500000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,18-Apr-23,10000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,18-Apr-23,100000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
JANATA DAL ( SECULAR ),18-Apr-23,400000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,19-Apr-23,633000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,20-Apr-23,175000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20-Apr-23,123000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,21-Apr-23,19000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,24-Apr-23,42000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,26-Apr-23,550000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BIJU JANATA DAL,07-Jul-23,500000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,10-Jul-23,100000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10-Jul-23,5000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
TELUGU DESAM PARTY,10-Jul-23,5000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
AAM AADMI PARTY,11-Jul-23,50000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,11-Jul-23,450000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BIJU JANATA DAL,11-Jul-23,75000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,12-Jul-23,200000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,12-Jul-23,395000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,12-Jul-23,5000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,13-Jul-23,420000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,13-Jul-23,2240000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BIJU JANATA DAL,13-Jul-23,840000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13-Jul-23,100000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
TELUGU DESAM PARTY,13-Jul-23,20000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,14-Jul-23,80000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,14-Jul-23,247200000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14-Jul-23,100000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
TELUGU DESAM PARTY,14-Jul-23,2500000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
AAM AADMI PARTY,15-Jul-23,50000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,15-Jul-23,210000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,15-Jul-23,269900000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BIJU JANATA DAL,15-Jul-23,140000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,17-Jul-23,187000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,17-Jul-23,250000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,18-Jul-23,250000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
RASHTRIYA JANTA DAL,18-Jul-23,10000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
RASTRIYA JANTA DAL,18-Jul-23,197000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,19-Jul-23,20000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
RASTRIYA JANTA DAL,19-Jul-23,93000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,20-Jul-23,104400000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
SIKKIM KRANTIKARI MORCHA,20-Jul-23,80000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,24-Jul-23,10000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,24-Jul-23,1000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
JHARKHAND MUKTI MORCHA,24-Jul-23,50000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,25-Jul-23,40000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
SHIVSENA (POLITICAL PARTY),25-Jul-23,330000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
AAM AADMI PARTY,26-Jul-23,1500000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",05-Oct-23,150000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",06-Oct-23,560000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,07-Oct-23,100000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",07-Oct-23,100000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,09-Oct-23,690000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",09-Oct-23,600000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10-Oct-23,1279300000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,12-Oct-23,125000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,12-Oct-23,100000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12-Oct-23,250000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,13-Oct-23,94500000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,13-Oct-23,110000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,13-Oct-23,1975000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13-Oct-23,649800000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
TELUGU DESAM PARTY,13-Oct-23,108800000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,16-Oct-23,505500000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,16-Oct-23,330000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,16-Oct-23,654500000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16-Oct-23,80000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
SIKKIM KRANTIKARI MORCHA,16-Oct-23,30000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,17-Oct-23,165188000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
JHARKHAND MUKTI MORCHA,17-Oct-23,55000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",17-Oct-23,153000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
SIKKIM KRANTIKARI MORCHA,17-Oct-23,150000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,18-Oct-23,94200000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARAT RASHTRA SAMITHI,18-Oct-23,60000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BIJU JANATA DAL,18-Oct-23,400000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
SHIVSENA (POLITICAL PARTY),18-Oct-23,370314000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
TELUGU DESAM PARTY,18-Oct-23,2500000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,19-Oct-23,645000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BIJU JANATA DAL,19-Oct-23,50000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",19-Oct-23,120000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
RASTRIYA JANTA DAL,19-Oct-23,240000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
SHIVSENA (POLITICAL PARTY),19-Oct-23,18000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,20-Oct-23,116200000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
RASTRIYA JANTA DAL,20-Oct-23,10000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
SHIVSENA (POLITICAL PARTY),20-Oct-23,1700000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,21-Oct-23,50000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",21-Oct-23,20000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",23-Oct-23,7000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,25-Oct-23,1000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",25-Oct-23,50000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,26-Oct-23,17000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,26-Oct-23,155000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
ALL INDIA TRINAMOOL CONGRESS,27-Oct-23,30300000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,27-Oct-23,10000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",09-Nov-23,60000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10-Nov-23,190000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
SIKKIM DEMOCRATIC FRONT,10-Nov-23,50000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh, Mizoram"
BHARTIYA JANTA PARTY,13-Nov-23,1152500000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13-Nov-23,85000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14-Nov-23,300000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15-Nov-23,90000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh"
BHARAT RASHTRA SAMITHI,16-Nov-23,5000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh"
BHARTIYA JANTA PARTY,17-Nov-23,1482500000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,17-Nov-23,200000000,"Madhya Pradesh, Rajasthan, Telangana, Chhattisgarh"
BHARAT RASHTRA SAMITHI,18-Nov-23,80000000,"Rajasthan, Telangana"
BHARTIYA JANTA PARTY,20-Nov-23,1695000000,"Rajasthan, Telangana"
BIJU JANATA DAL,20-Nov-23,50000000,"Rajasthan, Telangana"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20-Nov-23,150000000,"Rajasthan, Telangana"
BHARTIYA JANTA PARTY,21-Nov-23,350000000,"Rajasthan, Telangana"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",21-Nov-23,400000000,"Rajasthan, Telangana"
BHARTIYA JANTA PARTY,22-Nov-23,1350000000,"Rajasthan, Telangana"
TELUGU DESAM PARTY,22-Nov-23,99000000,"Rajasthan, Telangana"
BHARAT RASHTRA SAMITHI,23-Nov-23,50000000,"Rajasthan, Telangana"
BHARTIYA JANTA PARTY,23-Nov-23,800000000,"Rajasthan, Telangana"
BHARTIYA JANTA PARTY,24-Nov-23,140010000,"Rajasthan, Telangana"
BIJU JANATA DAL,24-Nov-23,250000000,"Rajasthan, Telangana"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",24-Nov-23,130000000,"Rajasthan, Telangana"
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,24-Nov-23,40000000,"Rajasthan, Telangana"
ALL INDIA TRINAMOOL CONGRESS,28-Nov-23,67300000,Telangana
BHARTIYA JANTA PARTY,28-Nov-23,50000000,Telangana
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",28-Nov-23,390000000,Telangana
TELUGU DESAM PARTY,28-Nov-23,1000000,Telangana
BHARTIYA JANTA PARTY,01-Dec-23,13000000,Lok Sabha
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,02-Dec-23,250000000,Lok Sabha
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,04-Dec-23,90000000,Lok Sabha
TELUGU DESAM PARTY,08-Jan-24,102000000,Lok Sabha
ALL INDIA TRINAMOOL CONGRESS,10-Jan-24,350000000,Lok Sabha
ALL INDIA TRINAMOOL CONGRESS,11-Jan-24,630000000,Lok Sabha
TELUGU DESAM PARTY,11-Jan-24,350000000,Lok Sabha
BHARTIYA JANTA PARTY,12-Jan-24,1100000000,Lok Sabha
TELUGU DESAM PARTY,12-Jan-24,470000000,Lok Sabha
ALL INDIA TRINAMOOL CONGRESS,15-Jan-24,150000000,Lok Sabha
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15-Jan-24,214000000,Lok Sabha
SHIVSENA (POLITICAL PARTY),15-Jan-24,250000000,Lok Sabha
ALL INDIA TRINAMOOL CONGRESS,16-Jan-24,20000000,Lok Sabha
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16-Jan-24,50000000,Lok Sabha
TELUGU DESAM PARTY,16-Jan-24,200000000,Lok Sabha
ALL INDIA TRINAMOOL CONGRESS,17-Jan-24,54500000,Lok Sabha
BHARTIYA JANTA PARTY,17-Jan-24,350000000,Lok Sabha
JANASENA PARTY,17-Jan-24,150000000,Lok Sabha
TELUGU DESAM PARTY,17-Jan-24,30000000,Lok Sabha
ALL INDIA TRINAMOOL CONGRESS,18-Jan-24,100000000,Lok Sabha
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18-Jan-24,85000000,Lok Sabha
SIKKIM DEMOCRATIC FRONT,18-Jan-24,5000000,Lok Sabha
BHARTIYA JANTA PARTY,19-Jan-24,500000000,Lok Sabha
SIKKIM KRANTIKARI MORCHA,19-Jan-24,30000000,Lok Sabha
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,19-Jan-24,30000000,Lok Sabha
