Name of the Political Party,"Date of Encashment",Sum,Upcoming Election
SHIVSENA (POLITICAL PARTY),13-May-19,5000000,Lok Sabha
ALL INDIA TRINAMOOL CONGRESS,14-May-19,279546000,Lok Sabha
BHARTIYA JANTA PARTY,14-May-19,2412500000,Lok Sabha
AAM AADMI PARTY,15-May-19,10000000,Lok Sabha
BHARAT RASHTRA SAMITHI,15-May-19,16029000,Lok Sabha
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15-May-19,50000000,Lok Sabha
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16-May-19,100000000,Lok Sabha
BHARAT RASHTRA SAMITHI,17-May-19,40000000,Lok Sabha
BHARTIYA JANTA PARTY,20-May-19,701500000,"Haryana, Maharashtra"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20-May-19,5000000,"Haryana, Maharashtra"
AAM AADMI PARTY,21-May-19,10000000,"Haryana, Maharashtra"
ALL INDIA TRINAMOOL CONGRESS,22-May-19,10000000,"Haryana, Maharashtra"
BHARAT RASHTRA SAMITHI,22-May-19,10000000,"Haryana, Maharashtra"
BHARTIYA JANTA PARTY,22-May-19,1500000,"Haryana, Maharashtra"
SHIVSENA (POLITICAL PARTY),11-Jul-19,50000000,"Haryana, Maharashtra, Jhakhand"
ALL INDIA TRINAMOOL CONGRESS,15-Jul-19,153800000,"Haryana, Maharashtra, Jhakhand"
BHARTIYA JANTA PARTY,18-Jul-19,110000000,"Haryana, Maharashtra, Jhakhand"
BIJU JANATA DAL,20-Jul-19,100000000,"Haryana, Maharashtra, Jhakhand"
BHARTIYA JANTA PARTY,22-Jul-19,40000000,"Haryana, Maharashtra, Jhakhand"
ALL INDIA TRINAMOOL CONGRESS,03-Oct-19,200000000,"Haryana, Maharashtra, Jhakhand"
NATIONALIST CONGRESS PARTY PARLIAMENT OF,05-Oct-19,20000000,"Haryana, Maharashtra, Jhakhand"
SHIVSENA (POLITICAL PARTY),05-Oct-19,30000000,"Haryana, Maharashtra, Jhakhand"
SHIVSENA,09-Oct-19,10000000,"Haryana, Maharashtra, Jhakhand"
SHIVSENA (POLITICAL PARTY),09-Oct-19,35000000,"Haryana, Maharashtra, Jhakhand"
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,10-Oct-19,5000000,"Haryana, Maharashtra, Jhakhand"
NATIONALIST CONGRESS PARTY PARLIAMENT OF,10-Oct-19,70000000,"Haryana, Maharashtra, Jhakhand"
BHARTIYA JANTA PARTY,11-Oct-19,932500000,"Haryana, Maharashtra, Jhakhand"
NATIONALIST CONGRESS PARTY PARLIAMENT OF,11-Oct-19,25000000,"Haryana, Maharashtra, Jhakhand"
SHIVSENA (POLITICAL PARTY),14-Oct-19,55000000,"Haryana, Maharashtra, Jhakhand"
BHARTIYA JANTA PARTY,15-Oct-19,358300000,"Haryana, Maharashtra, Jhakhand"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15-Oct-19,2500000,"Haryana, Maharashtra, Jhakhand"
BHARTIYA JANTA PARTY,16-Oct-19,350000000,"Haryana, Maharashtra, Jhakhand"
BHARTIYA JANTA PARTY,18-Oct-19,50000000,"Haryana, Maharashtra, Jhakhand"
BHARTIYA JANTA PARTY,19-Oct-19,130000000,"Haryana, Maharashtra, Jhakhand"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",19-Oct-19,10000000,"Haryana, Maharashtra, Jhakhand"
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",22-Oct-19,5000000,"Jharkhand, Delhi"
BHARTIYA JANTA PARTY,23-Oct-19,31000000,"Jharkhand, Delhi"
BIJU JANATA DAL,20-Jan-20,40000000,Delhi
