Name of the Political Party,Date of  Encashment,Sum,Upcoming Election,Phase
ALL INDIA TRINAMOOL CONGRESS,2019-07-15,153800000,"Haryana, Maharashtra, Jharkhand, Delhi",11
BHARTIYA JANTA PARTY,2019-07-18,110000000,"Haryana, Maharashtra, Jharkhand, Delhi",11
BIJU JANATA DAL,2019-07-20,100000000,"Haryana, Maharashtra, Jharkhand, Delhi",11
BHARTIYA JANTA PARTY,2019-07-22,40000000,"Haryana, Maharashtra, Jharkhand, Delhi",11
ALL INDIA TRINAMOOL CONGRESS,2019-10-03,200000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2019-10-05,20000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
SHIVSENA (POLITICAL PARTY),2019-10-05,30000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
SHIVSENA,2019-10-09,10000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
SHIVSENA (POLITICAL PARTY),2019-10-09,35000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,2019-10-10,5000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2019-10-10,70000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
BHARTIYA JANTA PARTY,2019-10-11,932500000,"Haryana, Maharashtra, Jharkhand, Delhi",12
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2019-10-11,25000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
SHIVSENA (POLITICAL PARTY),2019-10-14,55000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
BHARTIYA JANTA PARTY,2019-10-15,358300000,"Haryana, Maharashtra, Jharkhand, Delhi",12
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-10-15,2500000,"Haryana, Maharashtra, Jharkhand, Delhi",12
BHARTIYA JANTA PARTY,2019-10-16,350000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
BHARTIYA JANTA PARTY,2019-10-18,50000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
BHARTIYA JANTA PARTY,2019-10-19,130000000,"Haryana, Maharashtra, Jharkhand, Delhi",12
