Name of the Political Party,Date of  Encashment,Sum,Upcoming Election,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Phase
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-05-09,150000000,Lok Sabha 2019,,,,,
ADYAKSHA SAMAJVADI PARTY,2019-05-10,100000000,Lok Sabha 2019,,,,,
BHARTIYA JANTA PARTY,2019-05-10,3961500000,Lok Sabha 2019,,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-05-10,50000000,Lok Sabha 2019,,,,,
SHIROMANI AKALI DAL,2019-05-10,5000000,Lok Sabha 2019,,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-05-13,125000000,Lok Sabha 2019,,,,,
SHIVSENA (POLITICAL PARTY),2019-05-13,5000000,Lok Sabha 2019,,,,,
ALL INDIA TRINAMOOL CONGRESS,2019-05-14,279546000,Lok Sabha 2019,,,,,
BHARTIYA JANTA PARTY,2019-05-14,2412500000,Lok Sabha 2019,,,,,
AAM AADMI PARTY,2019-05-15,10000000,Lok Sabha 2019,,,,,
BHARAT RASHTRA SAMITHI,2019-05-15,16029000,Lok Sabha 2019,,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-05-15,50000000,Lok Sabha 2019,,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-05-16,100000000,Lok Sabha 2019,,,,,
BHARAT RASHTRA SAMITHI,2019-05-17,40000000,Lok Sabha 2019,,,,,
BHARTIYA JANTA PARTY,2019-05-20,701500000,Lok Sabha 2019,,,,,10.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-05-20,5000000,Lok Sabha 2019,,,,,10.0
AAM AADMI PARTY,2019-05-21,10000000,Lok Sabha 2019,,,,,10.0
ALL INDIA TRINAMOOL CONGRESS,2019-05-22,10000000,Lok Sabha 2019,,,,,10.0
BHARAT RASHTRA SAMITHI,2019-05-22,10000000,Lok Sabha 2019,,,,,10.0
BHARTIYA JANTA PARTY,2019-05-22,1500000,Lok Sabha 2019,,,,,10.0
SHIVSENA (POLITICAL PARTY),2019-07-11,50000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
ALL INDIA TRINAMOOL CONGRESS,2019-07-15,153800000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,11.0
BHARTIYA JANTA PARTY,2019-07-18,110000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,11.0
BIJU JANATA DAL,2019-07-20,100000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,11.0
BHARTIYA JANTA PARTY,2019-07-22,40000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,11.0
ALL INDIA TRINAMOOL CONGRESS,2019-10-03,200000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2019-10-05,20000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
SHIVSENA (POLITICAL PARTY),2019-10-05,30000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
SHIVSENA,2019-10-09,10000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
SHIVSENA (POLITICAL PARTY),2019-10-09,35000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,2019-10-10,5000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2019-10-10,70000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
BHARTIYA JANTA PARTY,2019-10-11,932500000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2019-10-11,25000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
SHIVSENA (POLITICAL PARTY),2019-10-14,55000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
BHARTIYA JANTA PARTY,2019-10-15,358300000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,12.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-10-15,2500000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,12.0
BHARTIYA JANTA PARTY,2019-10-16,350000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,12.0
BHARTIYA JANTA PARTY,2019-10-18,50000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,12.0
BHARTIYA JANTA PARTY,2019-10-19,130000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,12.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-10-19,10000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,12.0
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2019-10-22,5000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,12.0
BHARTIYA JANTA PARTY,2019-10-23,31000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,12.0
BIJU JANATA DAL,2020-01-20,40000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
BHARTIYA JANTA PARTY,2020-01-21,450000000,"Haryana, Maharashtra, Jharkhand, Delhi",,,,,
