Name of the Political Party,"Date of
Encashment",Sum - Denomination
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",24/Nov/2023,130000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",28/Nov/2023,390000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15/Jan/2024,214000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16/Jan/2024,50000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18/Jan/2024,85000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",22/Jan/2024,10000000
RASHTRIYA JANTA DAL,18/Jul/2023,10000000
RASTRIYA JANTA DAL,16/Apr/2019,10000000
RASTRIYA JANTA DAL,24/Apr/2019,15000000
RASTRIYA JANTA DAL,29/Oct/2020,10000000
RASTRIYA JANTA DAL,18/Jul/2023,197000000
RASTRIYA JANTA DAL,19/Jul/2023,93000000
RASTRIYA JANTA DAL,19/Oct/2023,240000000
RASTRIYA JANTA DAL,20/Oct/2023,10000000
RASTRIYA JANTA DAL,20/Jan/2024,150000000
SHIROMANI AKALI DAL,20/Apr/2019,60070000
SHIROMANI AKALI DAL,22/Apr/2019,2530000
SHIROMANI AKALI DAL,10/May/2019,5000000
SHIROMANI AKALI DAL,14/Jan/2022,5000000
SHIVSENA,09/Oct/2019,10000000
SHIVSENA (POLITICAL PARTY),12/Apr/2019,37000000
SHIVSENA (POLITICAL PARTY),15/Apr/2019,20000000
SHIVSENA (POLITICAL PARTY),18/Apr/2019,12000000
SHIVSENA (POLITICAL PARTY),20/Apr/2019,50000000
SHIVSENA (POLITICAL PARTY),22/Apr/2019,2500000
SHIVSENA (POLITICAL PARTY),23/Apr/2019,20000000
SHIVSENA (POLITICAL PARTY),25/Apr/2019,1000000
SHIVSENA (POLITICAL PARTY),30/Apr/2019,3800000
SHIVSENA (POLITICAL PARTY),04/May/2019,2500000
SHIVSENA (POLITICAL PARTY),13/May/2019,5000000
SHIVSENA (POLITICAL PARTY),11/Jul/2019,50000000
SHIVSENA (POLITICAL PARTY),05/Oct/2019,30000000
SHIVSENA (POLITICAL PARTY),09/Oct/2019,35000000
SHIVSENA (POLITICAL PARTY),14/Oct/2019,55000000
SHIVSENA (POLITICAL PARTY),06/Jan/2022,250000000
SHIVSENA (POLITICAL PARTY),11/Jan/2022,40000000
SHIVSENA (POLITICAL PARTY),25/Jul/2023,330000000
SHIVSENA (POLITICAL PARTY),18/Oct/2023,370314000
SHIVSENA (POLITICAL PARTY),19/Oct/2023,18000000
SHIVSENA (POLITICAL PARTY),20/Oct/2023,1700000
SHIVSENA (POLITICAL PARTY),15/Jan/2024,250000000
SIKKIM DEMOCRATIC FRONT,10/Nov/2023,50000000
SIKKIM DEMOCRATIC FRONT,18/Jan/2024,5000000
SIKKIM KRANTIKARI MORCHA,13/Oct/2022,20000000
SIKKIM KRANTIKARI MORCHA,02/Feb/2023,25000000
SIKKIM KRANTIKARI MORCHA,07/Feb/2023,30000000
SIKKIM KRANTIKARI MORCHA,20/Jul/2023,80000000
SIKKIM KRANTIKARI MORCHA,16/Oct/2023,30000000
SIKKIM KRANTIKARI MORCHA,17/Oct/2023,150000000
SIKKIM KRANTIKARI MORCHA,19/Jan/2024,30000000
TELUGU DESAM PARTY,12/Apr/2019,3000000
TELUGU DESAM PARTY,15/Apr/2019,50000000
TELUGU DESAM PARTY,18/Apr/2019,20000000
TELUGU DESAM PARTY,07/Apr/2021,25000000
TELUGU DESAM PARTY,08/Apr/2021,10000000
TELUGU DESAM PARTY,05/Jul/2022,30000000
TELUGU DESAM PARTY,11/Jul/2022,50000000
TELUGU DESAM PARTY,13/Oct/2022,50000000
TELUGU DESAM PARTY,24/Jan/2023,60000000
TELUGU DESAM PARTY,31/Jan/2023,130000000
TELUGU DESAM PARTY,01/Feb/2023,20000000
TELUGU DESAM PARTY,11/Apr/2023,20000000
TELUGU DESAM PARTY,13/Apr/2023,50000000
TELUGU DESAM PARTY,17/Apr/2023,250000000
TELUGU DESAM PARTY,10/Jul/2023,5000000
TELUGU DESAM PARTY,13/Jul/2023,20000000
TELUGU DESAM PARTY,14/Jul/2023,2500000
TELUGU DESAM PARTY,13/Oct/2023,108800000
TELUGU DESAM PARTY,18/Oct/2023,2500000
TELUGU DESAM PARTY,22/Nov/2023,99000000
TELUGU DESAM PARTY,28/Nov/2023,1000000
TELUGU DESAM PARTY,08/Jan/2024,102000000
TELUGU DESAM PARTY,11/Jan/2024,350000000
TELUGU DESAM PARTY,12/Jan/2024,470000000
TELUGU DESAM PARTY,16/Jan/2024,200000000
TELUGU DESAM PARTY,17/Jan/2024,30000000
TELUGU DESAM PARTY,22/Jan/2024,30000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,12/Apr/2019,62500000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,18/Apr/2019,20000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,07/Nov/2020,890000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,18/Jan/2021,62500000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,19/Apr/2021,600000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,18/Apr/2022,100000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,13/Oct/2022,50000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,18/Nov/2022,120000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,23/Nov/2022,40000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,12/Dec/2022,200000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,16/Dec/2022,10000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,11/Apr/2023,100000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,15/Apr/2023,250000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,12/Jul/2023,5000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,17/Jul/2023,250000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,17/Nov/2023,200000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,24/Nov/2023,40000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,02/Dec/2023,250000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,04/Dec/2023,90000000
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,19/Jan/2024,30000000
