Name of the Political Party,"Date of
Encashment",Sum - Denomination
ALL INDIA TRINAMOOL CONGRESS,13/Jul/2023,420000000
ALL INDIA TRINAMOOL CONGRESS,14/Jul/2023,80000000
ALL INDIA TRINAMOOL CONGRESS,19/Jul/2023,20000000
ALL INDIA TRINAMOOL CONGRESS,09/Oct/2023,690000000
ALL INDIA TRINAMOOL CONGRESS,13/Oct/2023,94500000
ALL INDIA TRINAMOOL CONGRESS,16/Oct/2023,505500000
ALL INDIA TRINAMOOL CONGRESS,17/Oct/2023,165188000
ALL INDIA TRINAMOOL CONGRESS,18/Oct/2023,94200000
ALL INDIA TRINAMOOL CONGRESS,20/Oct/2023,116200000
ALL INDIA TRINAMOOL CONGRESS,26/Oct/2023,17000000
ALL INDIA TRINAMOOL CONGRESS,27/Oct/2023,30300000
ALL INDIA TRINAMOOL CONGRESS,28/Nov/2023,67300000
ALL INDIA TRINAMOOL CONGRESS,10/Jan/2024,350000000
ALL INDIA TRINAMOOL CONGRESS,11/Jan/2024,630000000
ALL INDIA TRINAMOOL CONGRESS,15/Jan/2024,150000000
ALL INDIA TRINAMOOL CONGRESS,16/Jan/2024,20000000
ALL INDIA TRINAMOOL CONGRESS,17/Jan/2024,54500000
ALL INDIA TRINAMOOL CONGRESS,18/Jan/2024,100000000
BHARAT RASHTRA SAMITHI,12/Apr/2019,225000000
BHARAT RASHTRA SAMITHI,18/Apr/2019,10000000
BHARAT RASHTRA SAMITHI,22/Apr/2019,500000
BHARAT RASHTRA SAMITHI,08/May/2019,70000000
BHARAT RASHTRA SAMITHI,15/May/2019,16029000
BHARAT RASHTRA SAMITHI,17/May/2019,40000000
BHARAT RASHTRA SAMITHI,22/May/2019,10000000
BHARAT RASHTRA SAMITHI,08/Oct/2021,850000000
BHARAT RASHTRA SAMITHI,11/Oct/2021,680000000
BHARAT RASHTRA SAMITHI,06/Apr/2022,500000000
BHARAT RASHTRA SAMITHI,11/Apr/2022,920000000
BHARAT RASHTRA SAMITHI,12/Apr/2022,2680000000
BHARAT RASHTRA SAMITHI,13/Apr/2022,9870000
BHARAT RASHTRA SAMITHI,05/Jul/2022,100000000
BHARAT RASHTRA SAMITHI,06/Jul/2022,250000000
BHARAT RASHTRA SAMITHI,11/Jul/2022,75000000
BHARAT RASHTRA SAMITHI,13/Jul/2022,80000000
BHARAT RASHTRA SAMITHI,16/Jul/2022,125000000
BHARAT RASHTRA SAMITHI,10/Oct/2022,250000000
BHARAT RASHTRA SAMITHI,11/Oct/2022,300000000
BHARAT RASHTRA SAMITHI,31/Jan/2023,500000
BHARAT RASHTRA SAMITHI,06/Apr/2023,100000000
BHARAT RASHTRA SAMITHI,13/Apr/2023,300000000
BHARAT RASHTRA SAMITHI,15/Apr/2023,151000000
BHARAT RASHTRA SAMITHI,17/Apr/2023,350000000
BHARAT RASHTRA SAMITHI,18/Apr/2023,10000000
BHARAT RASHTRA SAMITHI,13/Jul/2023,2240000000
BHARAT RASHTRA SAMITHI,14/Jul/2023,247200000
BHARAT RASHTRA SAMITHI,15/Jul/2023,210000000
BHARAT RASHTRA SAMITHI,17/Jul/2023,187000000
BHARAT RASHTRA SAMITHI,18/Jul/2023,250000000
BHARAT RASHTRA SAMITHI,24/Jul/2023,10000000
BHARAT RASHTRA SAMITHI,25/Jul/2023,40000000
BHARAT RASHTRA SAMITHI,07/Oct/2023,100000000
BHARAT RASHTRA SAMITHI,12/Oct/2023,125000000
BHARAT RASHTRA SAMITHI,13/Oct/2023,110000000
BHARAT RASHTRA SAMITHI,16/Oct/2023,330000000
BHARAT RASHTRA SAMITHI,18/Oct/2023,60000000
BHARAT RASHTRA SAMITHI,16/Nov/2023,5000000
BHARAT RASHTRA SAMITHI,18/Nov/2023,80000000
BHARAT RASHTRA SAMITHI,23/Nov/2023,50000000
BHARTIYA JANTA PARTY,12/Apr/2019,2463000000
BHARTIYA JANTA PARTY,15/Apr/2019,500500000
BHARTIYA JANTA PARTY,16/Apr/2019,1162000000
BHARTIYA JANTA PARTY,18/Apr/2019,2275800000
BHARTIYA JANTA PARTY,20/Apr/2019,2107500000
BHARTIYA JANTA PARTY,22/Apr/2019,441801000
BHARTIYA JANTA PARTY,23/Apr/2019,1308500000
BHARTIYA JANTA PARTY,25/Apr/2019,131000000
